1,260767897,260835976,1,260835976,7,game00001.log,
3,260767897,260835976,1,260835976,7,game00003.log,
4,260835976,260767897,0,260835976,8,game00004.log,
5,260767897,260835976,1,260835976,7,game00005.log,
6,260835976,260767897,0,260835976,6,game00006.log,
7,260767897,260835976,1,260835976,7,game00007.log,
8,260835976,260767897,0,260835976,7,game00008.log,
9,260767897,260835976,1,260835976,9,game00009.log,
10,260835976,260767897,0,260835976,8,game00010.log,
11,260767897,260835976,1,260835976,8,game00011.log,
12,260835976,260767897,0,260835976,5,game00012.log,
14,260767897,260835976,1,260835976,5,game00014.log,
15,260767897,260835976,1,260835976,9,game00015.log,
16,260835976,260767897,0,260835976,9,game00016.log,
17,260767897,260835976,1,260835976,5,game00017.log,
18,260835976,260767897,0,260835976,7,game00018.log,
19,260767897,260835976,1,260835976,6,game00019.log,
21,260767897,260835976,1,260835976,7,game00021.log,
22,260835976,260767897,0,260835976,6,game00022.log,
23,260767897,260835976,1,260835976,5,game00023.log,
24,260835976,260767897,0,260835976,6,game00024.log,
26,260767897,260835976,1,260835976,6,game00026.log,
27,260835976,260767897,0,260835976,7,game00027.log,
28,260767897,260835976,0,260767897,9,game00028.log,
29,260835976,260767897,0,260835976,6,game00029.log,
