1,260692352,260835976,1,260835976,9,game00001.log,
2,260835976,260692352,0,260835976,9,game00002.log,
3,260692352,260835976,1,260835976,15,game00003.log,
4,260835976,260692352,0,260835976,10,game00004.log,
5,260692352,260835976,0,260692352,10,game00005.log,
6,260835976,260692352,1,260692352,7,game00006.log,
7,260692352,260835976,0,260692352,12,game00007.log,
8,260835976,260692352,1,260692352,8,game00008.log,
9,260692352,260835976,1,260835976,7,game00009.log,
10,260835976,260692352,0,260835976,7,game00010.log,
11,260692352,260835976,0,260692352,7,game00011.log,
12,260835976,260692352,0,260835976,7,game00012.log,
14,260767897,260835976,1,260835976,9,game00014.log,
15,260835976,260767897,0,260835976,5,game00015.log,
16,260767897,260835976,1,260835976,5,game00016.log,
17,260835976,260767897,0,260835976,5,game00017.log,
18,260767897,260835976,1,260835976,10,game00018.log,
19,260835976,260767897,0,260835976,5,game00019.log,
20,260767897,260835976,1,260835976,7,game00020.log,
21,260835976,260767897,0,260835976,5,game00021.log,
22,260835976_v1,260835976,1,260835976,8,game00022.log,
23,260835976,260835976_v1,0,260835976,8,game00023.log,
24,260835976_v1,260835976,0,260835976_v1,6,game00024.log,
25,260835976,260835976_v1,0,260835976,8,game00025.log,
