1,260692352,260835976,1,260835976,7,game00001.log,
2,260835976,260692352,0,260835976,6,game00002.log,
3,260692352,260835976,1,260835976,6,game00003.log,
4,260835976,260692352,0,260835976,9,game00004.log,
5,260692352,260835976,1,260835976,8,game00005.log,
6,260835976,260692352,1,260692352,8,game00006.log,
7,260692352,260835976,1,260835976,9,game00007.log,
8,260835976,260692352,0,260835976,4,game00008.log,
9,260692352,260835976,1,260835976,8,game00009.log,
10,260835976,260692352,0,260835976,5,game00010.log,
